Timestamp	datatype	data
697152959	orientation	-0.6798242, -1.173296, 0.9519378
697152972	accel	0.5183452, 4.746164, 0.23928227
697152980	orientation	-0.55955005, -1.1342475, 1.0722628
697152992	accel	-1.4784653, 3.8425741, 0.34247273
697153000	orientation	-0.46823967, -1.0874907, 1.1625683
697153012	accel	-2.9745777, 3.2297122, 0.83778703
697153020	orientation	-0.39823514, -1.0380163, 1.2231977
697153032	accel	-3.5012977, 3.1974092, 1.0869397
697153040	orientation	-0.3383219, -0.9867655, 1.2644545
697153053	accel	-3.527619, 2.9805596, 1.5610176
697153060	orientation	-0.28632265, -0.93286645, 1.296349
697153073	accel	-5.113761, 2.2097716, 1.5741782
697153080	orientation	-0.24697922, -0.8787579, 1.3157302
697153093	accel	-7.603792, 1.7057835, 1.6830516
697153100	orientation	-0.21742462, -0.8298041, 1.3145278
697153113	accel	-8.600702, 1.7225332, 2.4741786
697153121	orientation	-0.18449199, -0.78769785, 1.2990412
697153133	accel	-8.203493, 1.9426728, 2.6443682
697153141	orientation	-0.14521804, -0.7479336, 1.2816421
697153153	accel	-8.612666, 2.0458634, 2.152344
697153161	orientation	-0.10335458, -0.70546806, 1.2700851
697153173	accel	-11.078769, 1.8385851, 1.8314066
697153181	orientation	-0.06727026, -0.66100156, 1.2605122
697153194	accel	-13.847564, 1.8589242, 1.9645073
697153201	orientation	-0.038811967, -0.619923, 1.2468587
697153214	accel	-15.362819, 2.201397, 2.3222344
697153221	orientation	-0.014679555, -0.58549213, 1.2294761
697153234	accel	-16.137495, 2.489732, 3.1100712
697153242	orientation	0.0063120853, -0.5567752, 1.2130667
697153254	accel	-17.321344, 2.768795, 3.7648072
697153262	orientation	0.022849325, -0.53379947, 1.2004377
697153274	accel	-18.234505, 3.1603205, 3.8150566
697153282	orientation	0.035150994, -0.5179565, 1.1911643
697153294	accel	-18.658333, 3.6340995, 3.7384863
697153302	orientation	0.04425836, -0.5103525, 1.1850729
697153315	accel	-18.11965, 4.1237307, 3.1830523
697153322	orientation	0.049880743, -0.5110243, 1.1819602
697153335	accel	-16.968103, 4.706682, 3.1722846
697153342	orientation	0.051560264, -0.51876086, 1.181579
697153355	accel	-15.485151, 5.069494, 3.7624145
697153362	orientation	0.04862848, -0.53257066, 1.1826016
697153375	accel	-14.607584, 5.2453666, 3.9681973
697153383	orientation	0.044590812, -0.5511988, 1.1858448
697153395	accel	-14.101203, 5.18076, 3.429513
697153403	orientation	0.041679937, -0.5737958, 1.1926056
697153415	accel	-13.576876, 4.8912287, 3.0487552
697153423	orientation	0.038412157, -0.599364, 1.2020665
697153435	accel	-13.1745825, 4.685147, 3.098107
697153443	orientation	0.031699166, -0.62896585, 1.2115278
697153456	accel	-12.467204, 4.658826, 2.9183464
697153463	orientation	0.022568222, -0.6634254, 1.2196174
697153476	accel	-11.5468645, 4.62413, 2.5701907
697153483	orientation	0.013488038, -0.7012387, 1.2273915
697153496	accel	-10.6357975, 4.6707897, 2.6144578
697153503	orientation	0.0023880918, -0.7415203, 1.2348222
697153516	accel	-9.3765745, 4.80748, 3.0236306
697153524	orientation	-0.013277722, -0.7844438, 1.2403418
697153536	accel	-7.9519477, 4.945067, 3.336193
697153544	orientation	-0.03287666, -0.82936484, 1.242892
697153556	accel	-7.3343005, 5.0886364, 3.670291
697153564	orientation	-0.05082982, -0.8753321, 1.2456098
697153577	accel	-6.88774, 5.0659046, 3.3385859
697153584	orientation	-0.065966696, -0.92246866, 1.249671
697153597	accel	-5.799604, 5.309973, 2.9853454
697153604	orientation	-0.08087093, -0.9702395, 1.2534968
697153617	accel	-4.7688956, 5.469394, 3.411567
697153624	orientation	-0.09588015, -1.017441, 1.2578292
697153637	accel	-4.6492543, 5.502894, 3.2871401
697153645	orientation	-0.10674031, -1.0634024, 1.2660186
697153657	accel	-4.706682, 5.508876, 2.449054
697153665	orientation	-0.11375808, -1.109319, 1.2773634
697153677	accel	-3.7827535, 5.5926247, 1.8900307
697153685	orientation	-0.1228718, -1.1562324, 1.2862763
697153697	accel	-3.05713, 5.5651073, 2.5893333
697153705	orientation	-0.12936513, -1.2017689, 1.2963595
697153718	accel	-3.8820555, 5.3593245, 2.5701907
697153725	orientation	-0.12639715, -1.2454816, 1.3154576
697153738	accel	-4.4578285, 5.2238307, 1.2017952
697153745	orientation	-0.1228696, -1.291214, 1.3367527
697153758	accel	-2.65035, 5.5136614, 0.63918275
697153765	orientation	-0.13276048, -1.3405966, 1.3457747
697153778	accel	-0.58893347, 5.938687, 1.7907287
697153786	orientation	-0.14849767, -1.3890309, 1.3462183
697153798	accel	-1.2340983, 6.2437716, 2.7819555
697153806	orientation	-0.14716251, -1.43288, 1.3619798
697153818	accel	-2.6431718, 6.1360946, 1.4928222
697153826	orientation	-0.1314608, -1.4769255, 1.3967103
697153838	accel	-1.0941181, 5.979365, 0.4872385
697153846	orientation	-0.13483113, -1.5254545, 1.4168274
697153859	accel	0.4764708, 6.1325054, 2.0350957
697153866	orientation	3.0459042, -1.5660372, -1.666338
697153879	accel	0.5590232, 6.2521462, 3.1603205
697153886	orientation	2.9614723, -1.5185032, -1.7358168
697153899	accel	0.40827537, 6.104988, 1.5370895
697153906	orientation	2.9370558, -1.471298, -1.739083
697153919	accel	1.3716856, 5.8067822, 0.17467605
697153927	orientation	2.9250796, -1.4219012, -1.7226164
697153939	accel	1.5023935, 5.5663037, 1.8254246
697153947	orientation	2.918611, -1.3715916, -1.703204
697153959	accel	1.2376875, 5.172385, 2.3772693
697153967	orientation	2.910467, -1.3204477, -1.6870277
697153980	accel	1.928316, 4.8003016, 0.78634137
697153987	orientation	2.8997672, -1.265195, -1.6673571
697154000	accel	4.8182473, 4.8326044, -0.023928227
697154007	orientation	2.8850663, -1.2049266, -1.6496967
697154020	accel	6.698707, 5.15085, 1.9908284
697154027	orientation	2.8780563, -1.1464223, -1.6317376
697154040	accel	6.1097736, 4.894818, 3.2476585
697154048	orientation	2.8770432, -1.0938568, -1.6083715
697154060	accel	5.1556354, 4.2568316, 1.7356937
697154068	orientation	2.8670635, -1.0423492, -1.5830373
697154080	accel	6.329913, 3.6329029, 0.24526432
697154088	orientation	2.8448915, -0.985881, -1.5663414
697154100	accel	8.308778, 3.798307, 1.6902301
697154108	orientation	2.82764, -0.9285304, -1.5542111
697154121	accel	8.667701, 4.002893, 3.0873394
697154128	orientation	2.8228562, -0.8772579, -1.5348053
697154141	accel	7.9770727, 3.5682967, 2.0614166
697154148	orientation	2.8169417, -0.8294404, -1.507993
697154161	accel	9.010174, 3.254837, 1.1467602
697154168	orientation	2.800411, -0.7805222, -1.4874002
697154181	accel	9.842278, 3.3290145, 2.894418
697154189	orientation	2.7861524, -0.73282564, -1.4723198
697154201	accel	9.730712, 3.3840494, 3.470191
697154209	orientation	2.7766712, -0.6882912, -1.4564905
697154221	accel	10.520942, 3.3038898, 1.8242282
697154229	orientation	2.7630749, -0.6447112, -1.4412562
697154241	accel	13.365111, 3.5264223, 0.85483587
697154249	orientation	2.7466388, -0.60208714, -1.4297161
697154262	accel	15.711273, 3.9418762, 1.4294125
697154269	orientation	2.733182, -0.5656821, -1.4202037
697154282	accel	16.031013, 4.3633122, 1.9103698
697154289	orientation	2.725592, -0.53939974, -1.4073199
697154302	accel	15.47558, 4.5834517, 1.11685
697154309	orientation	2.719062, -0.52098197, -1.3922658
697154322	accel	15.582061, 4.679165, 0.22851457
697154330	orientation	2.7108142, -0.5070135, -1.3815682
697154342	accel	15.907485, 4.9522457, 1.2664014
697154350	orientation	2.7069008, -0.4979255, -1.3731073
697154362	accel	15.857236, 5.158028, 1.7285153
697154370	orientation	2.7064788, -0.4952484, -1.3658012
697154383	accel	15.160625, 5.1364927, 1.6004993
697154390	orientation	2.7061787, -0.4974148, -1.3618757
697154403	accel	15.250356, 5.1029935, 1.0977074
697154410	orientation	2.705116, -0.5029574, -1.3636343
697154423	accel	15.063716, 5.1364927, 1.3226327
697154430	orientation	2.7058935, -0.51284933, -1.368672
697154443	accel	14.20888, 5.1233325, 1.9199411
